891.95	2435	25.02	2.5115	1.3135	1.4522	116.35
891.15	2430	24.83	2.516	1.3193	1.4529	116.11
891.15	2432	24.45	2.5165	1.3175	1.4516	116.3
891.35	2429	24.35	2.5185	1.3161	1.4514	116.31
890.75	2429	24.05	2.5158	1.3201	1.4579	115.85
890.5	2430	23.9	2.5129	1.3163	1.4552	115.69
891.25	2429	24.25	2.511	1.3135	1.4482	112.92
890.65	2428	23.81	2.5132	1.3160	1.4461	111.17
891.45	2428	24.04	2.506	1.3294	1.4529	114.42
889.75	2428	24.25	2.509	1.3291	1.4489	114.05
888.4	2429	24.1	2.5167	1.3314	1.4518	114.1
888.45	2429	23.45	2.5145	1.3374	1.4520	113.07
888.75	2427	22.92	2.5107	1.3308	1.4501	113.5
888.75	2430	25	2.5155	1.3369	1.4539	113.46
888.45	2432	25.4	2.514	1.3316	1.4575	114.66
888.35	2431	24.8	2.5158	1.3308	1.4633	115.41
887.65	2432	25	2.5181	1.3301	1.4594	114.4
887.9	2434	25.3	2.5224	1.3323	1.4573	113.46
888.65	2432	25.45	2.5207	1.3317	1.4567	113.95
888.35	2432	25.3	2.523	1.3342	1.4676	114.1
887.65	2431	24.55	2.524	1.3414	1.4749	114.28
888.35	2433	24.65	2.5245	1.3278	1.4691	115.23
887.75	2435	28.5	2.5239	1.3245	1.4706	114.56
887.35	2434	29.25	2.5245	1.3277	1.4797	114.61
887.35	2430	29.05	2.5244	1.3293	1.4760	113.58
887.35	2433	28.7	2.5248	1.3405	1.4799	112.5
887.7	2433	28.7	2.5248	1.3475	1.4817	112.93
888.15	2432	28.85	2.5045	1.3417	1.4857	112.8
889.25	2432	28.98	2.4975	1.3461	1.4874	112.66
890.25	2437	29.95	2.502	1.3432	1.4921	113.95
891.25	2458	30.25	2.548	1.3552	1.4979	113.76
891.35	2452	30	2.556	1.3594	1.5033	114.21
893.75	2460	29.85	2.5593	1.3631	1.5168	115.64
894	2478	29.9	2.5875	1.3557	1.5138	116.15
894.85	2492	30.3	2.6085	1.3539	1.5389	115.78
892.7	2645	30.3	2.6345	1.3497	1.5314	115.46
894.25	2600	30.45	2.6199	1.3501	1.5389	116.18
