1.9956	2.0051
1.9902	2.0035
2.0303	2.0382
2.0665	2.0728
2.0513	2.0579
2.0982	2.1119
2.2431	2.2601
2.2241	2.2384
2.1908	2.1998
2.1462	2.1449
2.1269	2.1328
2.1892	2.2005
2.2512	2.2658
2.2749	2.2898
2.2084	2.2063
2.217	2.2162
2.2705	2.304
2.2941	2.3359
2.3352	2.3727
2.3372	2.3705
2.3805	2.402
2.4034	2.4168
2.3986	2.3964
2.374	2.3459
2.4283	2.4047
2.3178	2.2941
2.2483	2.2326
2.1992	2.179
2.1256	2.0895
2.0004	1.9738
1.8994	1.8764
1.8433	1.821
1.8308	1.817
1.8437	1.8427
1.8968	1.9038
1.8964	1.9052
1.8851	1.8875
1.8536	1.8468
1.814	1.8072
1.7793	1.7721
1.8181	1.8115
1.7693	1.7578
1.7444	1.7348
1.7296	1.7267
1.7186	1.7141
1.7013	1.6978
1.6354	1.633
1.6148	1.6185
1.5655	1.5733
1.5254	1.5328
1.485	1.4906
1.5378	1.5412
1.5688	1.5732
1.5487	1.5491
1.5293	1.5283
1.5039	1.5017
1.4996	1.4984
1.4988	1.4974
1.48	1.4776
1.4385	1.4355
1.41	1.4082
1.4428	1.4402
1.4625	1.4566
1.4314	1.4238
1.3974	1.3893
1.3857	1.3774
1.3233	1.3211
1.3172	1.314
1.262	1.259
1.2212	1.2202
1.241	1.2416
1.1853	1.1873
1.1202	1.1286
1.0814	1.0932
1.1119	1.123
1.2306	1.2424
1.2368	1.2503
1.2661	1.2809
1.3647	1.3783
1.3721	1.3834
1.3546	1.3654
1.4106	1.4223
1.4282	1.4403
1.4337	1.4461
1.4072	1.423
1.4146	1.4302
1.4521	1.467
1.4858	1.4986
1.5086	1.5206
1.4988	1.5089
1.4957	1.508
1.4733	1.4867
1.4566	1.4716
1.4096	1.4276
1.4076	1.4253
1.4213	1.4383
1.4897	1.5071
1.511	1.5271
1.5785	1.5919
1.6185	1.6299
1.6601	1.6661
1.6225	1.6293
1.6011	1.6099
1.5857	1.5975
1.6364	1.6462
1.6558	1.6621
1.7691	1.7754
1.8236	1.8273
1.7907	1.7981
1.7475	1.7578
1.8235	1.8324
1.8716	1.8765
1.8671	1.8694
1.7738	1.779
1.6945	1.7042
1.6867	1.6983
1.6684	1.6833
1.7238	1.7382
1.7947	1.809
1.8123	1.8282
1.7593	1.7748
1.7406	1.7541
1.7034	1.7146
1.6903	1.7022
1.6162	1.6295
1.5356	1.5532
1.6054	1.6244
1.5763	1.5955
1.5526	1.5715
1.5642	1.5882
1.5474	1.5724
1.5708	1.5957
1.6257	1.6523
1.669	1.6962
1.598	1.6246
1.6115	1.6374
1.6505	1.6778
1.6822	1.7094
1.7785	1.8081
1.8681	1.8998
1.8484	1.8786
1.918	1.9454
1.9387	1.9647
1.8989	1.9257
1.9044	1.9348
1.9349	1.9655
1.8004	1.8265
1.7259	1.7502
1.7021	1.7252
1.6294	1.6499
1.6302	1.6503
1.6629	1.6841
1.7059	1.7249
1.7016	1.7226
1.755	1.7787
1.7982	1.8258
1.7842	1.8127
1.7513	1.7781
1.6973	1.7238
1.7299	1.7576
1.7834	1.8109
1.8281	1.8556
1.887	1.9186
1.9081	1.9412
1.8245	1.8559
1.6374	1.6577
1.5145	1.5275
1.54	1.5536
