    55.700      1.900 
    55.400      1.967 
    56.700      2.033 
    57.900      2.167 
    58.200      2.200 
    59.000      2.267 
    58.800      2.167 
    59.200      2.200 
    60.200      2.233 
    60.600      2.333 
    60.900      2.367 
    61.700      2.467 
    61.700      2.667 
    62.200      2.667 
    63.100      2.700 
    63.600      2.600 
    64.400      2.700 
    65.400      2.733 
    66.100      2.733 
    66.300      2.667 
    67.900      2.567 
    69.300      2.567 
    70.100      2.600 
    71.100      2.767 
    71.300      2.667 
    71.200      2.767 
    71.600      2.833 
    72.200      2.800 
    72.100      2.933 
    73.700      3.000 
    75.100      2.767 
    77.100      2.700 
    78.900      2.667 
    78.800      2.467 
    80.600      2.533 
    81.400      2.400 
    83.600      2.333 
    82.500      2.300 
    83.900      2.200 
    86.500      2.167 
    86.100      2.133 
    88.800      2.133 
    90.300      2.067 
    90.200      2.067 
    91.000      2.100 
    92.000      2.100 
    91.800      2.100 
    92.500      2.067 
    92.500      2.067 
    92.800      2.100 
    92.900      2.167 
    92.300      2.267 
    93.400      2.300 
    92.800      2.433 
    92.100      2.533 
    92.700      2.733 
    93.300      2.867 
    93.300      2.800 
    94.200      2.967 
    93.500      2.933 
    94.300      3.033 
    95.100      3.067 
    96.000      3.167 
    95.800      3.333 
    96.700      3.367 
    97.700      3.400 
    97.900      3.333 
    99.300      3.367 
   100.200      3.333 
    99.400      3.333 
    98.900      3.433 
    99.200      3.500 
    97.300      3.667 
    96.900      4.067 
    97.300      4.267 
    97.500      4.400 
    96.800      4.600 
    97.300      4.733 
    97.100      4.700 
    97.700      4.633 
    99.600      4.833 
    99.700      4.700 
    99.800      4.667 
   100.800      4.733 
   101.300      4.767 
   100.700      4.900 
    99.500      5.133 
    99.100      5.367 
    99.400      5.267 
   100.200      5.400 
   101.000      5.433 
   101.100      5.333 
   100.700      5.333 
   101.300      5.433 
   102.000      5.167 
   103.500      5.033 
   104.700      4.867 
   104.400      4.733 
   105.000      4.767 
   104.600      4.533 
   105.400      4.533 
   106.500      4.433 
   107.300      4.300 
   107.600      4.433 
   107.800      4.200 
   108.700      4.167 
   109.100      4.133 
   109.700      4.033 
   111.600      4.000 
   111.100      3.800 
   111.100      3.800 
   111.600      3.833 
   113.100      3.833 
   110.700      4.033 
   109.600      4.033 
   106.700      4.033 
   103.400      4.433 
   104.100      5.200 
   104.400      5.500 
