   4133.50000000   46377.00000000    3153.00000000      29.71272230     495.11715813       2.11000000      53.25496379 
   4140.50000000   46717.00000000    3163.33333333      29.71272230     498.43536817       2.10000000      53.44848622 
   4153.20000000   47057.00000000    3173.66666667      30.30697674     501.95468184       2.04000000      53.78788862 
   4161.00000000   47397.00000000    3184.00000000      30.30697674     506.07730643       1.98000000      53.93229401 
   4168.30000000   47589.00000000    3196.66666667      30.30697674     510.19993102       1.93000000      54.06914071 
   4180.20000000   47781.00000000    3209.33333333      30.30697674     514.42310743       1.86000000      54.24231058 
   4197.30000000   47973.00000000    3222.00000000      30.30697674     519.14904294       1.79000000      54.65703172 
   4211.30000000   48516.00000000    3278.66666667      30.30697674     523.87497844       1.68000000      55.07080382 
   4225.80000000   49059.00000000    3335.33333333      30.90123119     528.50036213       1.59000000      55.56712054 
   4242.80000000   49602.00000000    3392.00000000      31.49548564     529.50588032       1.53000000      55.78286000 
   4258.30000000   49939.00000000    3376.66666667      31.49548564     530.41084670       1.49000000      55.88964586 
   4273.30000000   50276.00000000    3361.33333333      32.08974008     531.41636489       1.45000000      56.08132136 
   4283.90000000   50613.00000000    3346.00000000      32.08974008     532.22077944       1.42000000      56.10626196 
   4290.80000000   50332.00000000    3369.00000000      32.08974008     533.12574582       1.45000000      56.08315076 
   4299.50000000   50051.00000000    3392.00000000      32.08974008     534.03071219       1.68000000      55.97963656 
   4305.70000000   49770.00000000    3415.00000000      32.68399453     534.63402311       1.68000000      56.11160360 
   4304.30000000   49742.33333333    3432.66666667      30.90123119     535.33788584       1.93000000      55.73900507 
   4293.20000000   49714.66666667    3450.33333333      32.08974008     535.94119676       2.18000000      55.74821801 
   4274.10000000   49687.00000000    3468.00000000      32.08974008     534.63402311       2.66000000      55.33529068 
   4268.30000000   49500.66666667    3462.33333333      28.52421341     530.81305397       2.86000000      54.55445744 
   4256.00000000   49314.33333333    3456.66666667      27.92995896     530.81305397       3.28000000      54.13440949 
   4244.60000000   49128.00000000    3451.00000000      27.92995896     533.12574582       3.55000000      53.95075307 
   4239.50000000   49093.66666667    3442.66666667      27.92995896     537.95223314       3.70000000      53.88509939 
   4240.30000000   49059.33333333    3434.33333333      27.92995896     533.22629764       3.90000000      53.71735868 
   4236.70000000   49025.00000000    3426.00000000      27.92995896     542.57761683       4.22000000      53.73706597 
   4247.80000000   49224.66666667    3427.66666667      28.52421341     538.85719952       4.00000000      54.01457061 
   4255.50000000   49424.33333333    3429.33333333      29.11846785     529.80753578       3.86000000      54.17216690 
   4263.50000000   49624.00000000    3431.00000000      29.11846785     540.26492499       3.59000000      54.69351947 
   4268.50000000   50185.33333333    3452.66666667      30.30697674     542.07485773       3.43000000      55.22999180 
   4282.50000000   50746.66666667    3474.33333333      31.49548564     547.20300052       3.24000000      55.86827913 
   4301.60000000   51308.00000000    3496.00000000      31.49548564     543.98534230       3.21000000      56.14245884 
   4303.90000000   51586.00000000    3543.00000000      32.08974008     547.50465598       3.14000000      56.50708208 
   4324.50000000   51864.00000000    3590.00000000      32.68399453     555.14659424       3.01000000      57.05634864 
   4337.70000000   52142.00000000    3637.00000000      33.27824897     552.73335058       3.00000000      57.21323726 
   4345.80000000   52246.00000000    3637.00000000      33.27824897     554.24162787       3.00000000      57.29728765 
   4353.60000000   52350.00000000    3637.00000000      33.27824897     554.94549060       3.03000000      57.35577278 
   4366.30000000   52454.00000000    3637.00000000      33.27824897     562.98963614       3.01000000      57.64557416 
   4370.10000000   52795.00000000    3654.00000000      33.87250342     565.10122435       3.01000000      57.88679836 
   4377.80000000   53136.00000000    3671.00000000      33.27824897     567.71557165       2.93000000      58.02281163 
   4383.30000000   53477.00000000    3688.00000000      32.68399453     554.74438696       2.86000000      58.01686999 
   4394.60000000   53974.00000000    3706.66666667      33.27824897     575.25695810       2.72000000      58.66418456 
   4406.20000000   54471.00000000    3725.33333333      33.87250342     576.26247629       2.65000000      59.04129581 
   4418.00000000   54968.00000000    3744.00000000      33.27824897     573.34647353       2.63000000      58.97471528 
   4434.40000000   54645.66666667    3773.33333333      33.27824897     580.38510088       2.65000000      59.12399676 
   4443.70000000   54323.33333333    3802.66666667      33.27824897     579.58068633       2.62000000      59.15874535 
   4455.10000000   54001.00000000    3832.00000000      33.87250342     589.13310916       2.56000000      59.78789509 
   4469.00000000   54793.00000000    3889.00000000      33.87250342     591.04359372       2.55000000      60.22650038 
   4480.80000000   55585.00000000    3946.00000000      33.87250342     588.73090188       2.41000000      60.66304381 
   4494.50000000   56377.00000000    4003.00000000      34.46675787     589.03255734       2.31000000      61.09315690 
   4513.40000000   56859.66666667    4024.33333333      35.06101231     600.49546474       2.11000000      61.74145890 
   4525.00000000   57342.33333333    4045.66666667      35.06101231     593.05463011       2.07000000      61.94633737 
   4535.50000000   57825.00000000    4067.00000000      35.65526676     592.35076737       2.04000000      62.04182281 
   4553.50000000   57746.33333333    4076.33333333      35.65526676     608.03685118       1.94000000      62.33229369 
   4566.30000000   57667.66666667    4085.66666667      36.84377565     599.08773927       1.86000000      62.44956062 
   4580.70000000   57589.00000000    4095.00000000      36.84377565     605.62360752       1.79000000      62.81341822 
   4598.50000000   58092.66666667    4125.66666667      36.84377565     616.98596310       1.69000000      63.27202312 
   4610.30000000   58596.33333333    4156.33333333      37.43803010     621.10858769       1.58000000      63.69563866 
   4625.80000000   59100.00000000    4187.00000000      37.43803010     623.52183135       1.53000000      63.95294377 
   4641.90000000   59443.66666667    4215.66666667      38.03228454     628.95162959       1.49000000      64.33021430 
