7.7971,7.771,7.7916,7.8194,7.8466,7.8711,7.8922,7.9101,7.9247,7.9365,7.9458,7.9527,7.9576,7.9608,7.9624,7.9627,7.9619,7.9601,7.9574,7.954,7.95,7.9456,7.9407,7.9355,7.93,7.9243,7.9185,7.9126,7.9066,7.9005,7.7009,7.7913,7.8711,7.9319,7.9767,8.0081,8.0284,8.0396,8.0434,8.0412,8.0342,8.0235,8.0098,7.9939,7.9764,7.9579,7.9386,7.9191,7.8995,7.8801,7.861,7.8424,7.8244,7.8071,7.7905,7.7746,7.7595,7.7453,7.7318,7.7191,0
7.8439,7.8223,7.8437,7.8718,7.8989,7.9227,7.9429,7.9594,7.9726,7.9828,7.9903,7.9955,7.9987,8.0001,8.0001,7.9987,7.9963,7.993,7.989,7.9843,7.9792,7.9736,7.9678,7.9616,7.9554,7.949,7.9425,7.936,7.9295,7.923,7.7655,7.8445,7.9248,7.9846,8.0269,8.0548,8.071,8.0779,8.0773,8.0708,8.0597,8.0451,8.0281,8.0092,7.9892,7.9685,7.9475,7.9266,7.9059,7.8858,7.8664,7.8477,7.8298,7.8128,7.7967,7.7815,7.7673,7.7539,7.7414,7.7298,0
7.8175,7.7988,7.8226,7.8521,7.8804,7.9055,7.927,7.945,7.9598,7.9716,7.9808,7.9876,7.9924,7.9955,7.9969,7.997,7.996,7.994,7.9911,7.9875,7.9834,7.9788,7.9737,7.9684,7.9628,7.957,7.951,7.945,7.9389,7.9327,7.7342,7.8281,7.9087,7.9698,8.0144,8.0455,8.0653,8.0759,8.079,8.0761,8.0684,8.057,8.0426,8.0262,8.0082,7.9892,7.9695,7.9496,7.9297,7.9101,7.8908,7.872,7.8539,7.8365,7.8199,7.8041,7.789,7.7748,7.7614,7.7488,0
7.8029,7.7922,7.8187,7.851,7.8822,7.9103,7.9348,7.9557,7.9733,7.9878,7.9995,8.0087,8.0157,8.0207,8.024,8.0258,8.0263,8.0256,8.0239,8.0214,8.0181,8.0142,8.0098,8.005,7.9998,7.9943,7.9885,7.9826,7.9766,7.9704,7.743,7.8272,7.9128,7.9802,8.0311,8.0682,8.0937,8.1094,8.1172,8.1183,8.114,8.1053,8.0932,8.0785,8.0617,8.0433,8.024,8.0039,7.9836,7.9631,7.9428,7.9228,7.9032,7.8841,7.8657,7.848,7.8309,7.8147,7.7992,7.7845,0
7.7911,7.7909,7.8234,7.8603,7.8953,7.9267,7.954,7.9773,7.997,8.0133,8.0266,8.0371,8.0452,8.0512,8.0552,8.0576,8.0586,8.0583,8.0569,8.0545,8.0513,8.0474,8.043,8.038,8.0326,8.0269,8.0209,8.0147,8.0083,8.0018,7.7461,7.8407,7.9331,8.0062,8.0618,8.1027,8.1311,8.1491,8.1584,8.1605,8.1568,8.1483,8.136,8.1208,8.1032,8.084,8.0635,8.0422,8.0205,7.9986,7.9768,7.9552,7.9341,7.9135,7.8935,7.8742,7.8557,7.8379,7.821,7.8049,0
7.7889,7.787,7.8217,7.8599,7.8953,7.9267,7.954,7.9774,7.9973,8.0139,8.0277,8.0389,8.0478,8.0547,8.0598,8.0632,8.0653,8.0661,8.0659,8.0647,8.0627,8.0599,8.0566,8.0527,8.0484,8.0438,8.0388,8.0336,8.0281,8.0225,7.736,7.8404,7.937,8.0089,8.0626,8.1025,8.131,8.1501,8.1612,8.1657,8.1646,8.1591,8.1499,8.1377,8.1232,8.107,8.0894,8.0708,8.0517,8.0321,8.0125,7.9929,7.9736,7.9546,7.9361,7.9181,7.9007,7.8839,7.8678,7.8524,0
7.7771,7.7765,7.8179,7.8623,7.9014,7.9343,7.9617,7.9844,8.0031,8.0183,8.0306,8.0403,8.0479,8.0535,8.0575,8.0601,8.0614,8.0616,8.061,8.0595,8.0574,8.0547,8.0515,8.0479,8.044,8.0398,8.0354,8.0308,8.026,8.0212,7.7219,7.8404,7.9545,8.031,8.0811,8.1144,8.136,8.1489,8.1548,8.1552,8.1512,8.1435,8.133,8.1204,8.1061,8.0906,8.0742,8.0574,8.0403,8.0232,8.0063,7.9896,7.9733,7.9575,7.9422,7.9276,7.9136,7.9002,7.8874,7.8753,0
7.7697,7.7815,7.8235,7.8649,7.9009,7.9315,7.9575,7.9793,7.9977,8.0131,8.0258,8.0362,8.0445,8.051,8.056,8.0595,8.0619,8.0631,8.0634,8.0629,8.0617,8.0599,8.0576,8.0548,8.0516,8.0481,8.0443,8.0403,8.0361,8.0317,7.7363,7.8547,7.9537,8.0204,8.067,8.1004,8.124,8.1398,8.149,8.1529,8.1522,8.1479,8.1406,8.1309,8.1192,8.1061,8.0919,8.0769,8.0614,8.0456,8.0297,8.0138,7.9981,7.9827,7.9677,7.953,7.9389,7.9252,7.9121,7.8995,0
7.7779,7.7996,7.8567,7.9108,7.9552,7.9906,8.0187,8.0412,8.0594,8.074,8.0858,8.0953,8.1028,8.1086,8.1131,8.1164,8.1186,8.12,8.1207,8.1207,8.1202,8.1192,8.1179,8.1163,8.1143,8.1122,8.1099,8.1074,8.1049,8.1022,7.7486,7.9013,8.0308,8.1086,8.1532,8.1791,8.1943,8.2025,8.2058,8.2054,8.202,8.1964,8.189,8.1802,8.1705,8.1601,8.1492,8.1381,8.1269,8.1157,8.1047,8.0939,8.0834,8.0733,8.0635,8.0542,8.0453,8.0369,8.0289,8.0213,0
7.8699,7.9388,8.002,8.0463,8.0784,8.1028,8.1219,8.1372,8.1495,8.1593,8.1672,8.1735,8.1783,8.182,8.1847,8.1865,8.1876,8.1881,8.1881,8.1876,8.1867,8.1856,8.1841,8.1825,8.1807,8.1787,8.1766,8.1744,8.1721,8.1698,7.9069,8.0862,8.1599,8.1951,8.2169,8.2317,8.2412,8.2465,8.2483,8.2475,8.2444,8.2395,8.2333,8.2261,8.2182,8.2097,8.2009,8.192,8.183,8.1741,8.1654,8.1568,8.1485,8.1406,8.1329,8.1256,8.1187,8.1121,8.1059,8.1,0
